YEAR,ACCOUNT,ACCOUNT DESCRIPTION,BUDGET AMOUNT
2021,101,Cash,58486.51200000004
2021,102,Accounts Receivable,4569.553800000001
2021,103,Inventory,5954.05926
2021,201,Accounts Payable,11262.5646
2021,202,Loan Payable,43286.35
2021,301,Owner's Equity,14461.210460000038
2021,401,Sales Revenue,20633.822000000004
2021,501,Cost of Goods Sold,17060.41919
2021,502,Rent Expense,16203.960000000001
2021,503,Salary Expense,42092.694
2022,101,Cash,61410.83760000004
2022,102,Accounts Receivable,4706.640414
2022,103,Inventory,6073.1404452
2022,201,Accounts Payable,11487.815892
2022,202,Loan Payable,43286.35
2022,301,Owner's Equity,17416.452567200038
2022,401,Sales Revenue,22697.204200000007
2022,501,Cost of Goods Sold,18254.648533300002
2022,502,Rent Expense,16690.078800000003
2022,503,Salary Expense,44197.328700000005
