BATCH,DATE,ACCOUNT,ACCOUNT DESCRIPTION,DR,CR
1,2021-08-16,101,Cash,64653.71,0
1,2021-08-16,301,Owner's Equity,0,64653.71
2,2021-08-21,401,Sales Revenue,0,2059.32
2,2021-08-21,501,Cost of Goods Sold,1750.422,0
2,2021-08-21,103,Inventory,0,1750.422
2,2021-08-21,102,Accounts Receivable,2059.32,0
2,Description:,Items sold,,,,
3,2021-08-27,101,Cash,0,7810.39
3,2021-08-27,202,Loan Payable,7810.39,0
3,Description:,Loan activity,,,,
4,2021-09-06,401,Sales Revenue,0,2516.47
4,2021-09-06,501,Cost of Goods Sold,2138.9995,0
4,2021-09-06,103,Inventory,0,2138.9995
4,2021-09-06,101,Cash,2516.47,0
4,Description:,Goods exchanged for money,,,,
5,2021-09-13,201,Accounts Payable,749.86,0
5,2021-09-13,101,Cash,0,749.86
5,Description:,Debt payment,,,,
6,2021-09-15,502,Rent Expense,1644.08,0
6,2021-09-15,503,Salary Expense,4835.35,0
6,2021-09-15,101,Cash,0,6479.43
6,Description:,Regular expenses,,,,
7,2021-09-24,103,Inventory,530.03,0
7,2021-09-24,201,Accounts Payable,0,530.03
7,Description:,Restocking products,,,,
8,2021-09-27,401,Sales Revenue,0,2147.5
8,2021-09-27,501,Cost of Goods Sold,1825.375,0
8,2021-09-27,103,Inventory,0,1825.375
8,2021-09-27,102,Accounts Receivable,2147.5,0
8,Description:,Items sold,,,,
9,2021-10-07,101,Cash,9800.85,0
9,2021-10-07,202,Loan Payable,0,9800.85
9,Description:,Loan account adjustments,,,,
10,2021-10-13,401,Sales Revenue,0,1246.93
10,2021-10-13,501,Cost of Goods Sold,1059.8905,0
10,2021-10-13,103,Inventory,0,1059.8905
10,2021-10-13,102,Accounts Receivable,1246.93,0
10,Description:,Items sold,,,,
11,2021-10-22,502,Rent Expense,2177.22,0
11,2021-10-22,503,Salary Expense,5072.96,0
11,2021-10-22,101,Cash,0,7250.18
11,Description:,Regular expenses,,,,
