BATCH,DATE,ACCOUNT,ACCOUNT DESCRIPTION,DR,CR
1,2021-12-02,101,Cash,66403.49,0
1,2021-12-02,301,Owner's Equity,0,66403.49
2,Description:,Sales completed,,,,
3,2021-12-09,101,Cash,0,5934.05
3,2021-12-09,202,Loan Payable,5934.05,0
3,Description:,Loan account adjustments,,,,
4,Description:,Items sold,,,,
5,Description:,Sales completed,,,,
6,2021-12-16,101,Cash,9701.19,0
6,2021-12-16,202,Loan Payable,0,9701.19
6,Description:,Loan activity,,,,
7,2021-12-26,101,Cash,8407.06,0
7,2021-12-26,202,Loan Payable,0,8407.06
7,Description:,Loan activity,,,,
8,2022-01-02,502,Rent Expense,2102.74,0
8,2022-01-02,503,Salary Expense,3581.92,0
8,2022-01-02,101,Cash,0,5684.66
8,Description:,Regular expenses,,,,
8,2022-01-06,301,Owner's Equity,5684.6600000000035,0
9,Description:,Goods exchanged for money,,,,
10,Description:,Items sold,,,,
11,Description:,Debt payment,,,,
12,Description:,Items sold,,,,
13,2022-01-26,101,Cash,0,5058.55
13,2022-01-26,202,Loan Payable,5058.55,0
13,Description:,Loan account adjustments,,,,
14,2022-02-01,101,Cash,0,5307.63
14,2022-02-01,202,Loan Payable,5307.63,0
14,Description:,Loan account adjustments,,,,
14,2022-02-09,301,Owner's Equity,7.275957614183426e-12,0
15,Description:,Reduced payable amount,,,,
15,2022-02-13,301,Owner's Equity,0,7.275957614183426e-12
16,2022-02-13,101,Cash,0,5400.23
16,2022-02-13,202,Loan Payable,5400.23,0
16,Description:,Loan activity,,,,
16,2022-02-19,301,Owner's Equity,7.275957614183426e-12,0
17,2022-02-19,103,Inventory,1175.65,0
17,2022-02-19,201,Accounts Payable,0,1175.65
17,Description:,Goods purchased,,,,
18,2022-02-28,101,Cash,0,9176.32
18,2022-02-28,202,Loan Payable,9176.32,0
18,Description:,Loan activity,,,,
19,2022-03-05,103,Inventory,3881.55,0
19,2022-03-05,201,Accounts Payable,0,3881.55
19,Description:,Added to inventory,,,,
20,2022-03-12,201,Accounts Payable,540.91,0
20,2022-03-12,101,Cash,0,540.91
20,Description:,Paid off a creditor,,,,
21,2022-03-15,502,Rent Expense,1969.33,0
21,2022-03-15,503,Salary Expense,5887.51,0
21,2022-03-15,101,Cash,0,7856.84
21,Description:,Monthly bills paid,,,,
21,2022-03-24,301,Owner's Equity,7856.840000000011,0
22,2022-03-24,103,Inventory,2572.26,0
22,2022-03-24,201,Accounts Payable,0,2572.26
22,Description:,Goods purchased,,,,
23,2022-04-03,103,Inventory,4522.83,0
23,2022-04-03,201,Accounts Payable,0,4522.83
23,Description:,Added to inventory,,,,
23,2022-04-13,301,Owner's Equity,0,7.275957614183426e-12
24,2022-04-13,401,Sales Revenue,0,8743.04
24,2022-04-13,501,Cost of Goods Sold,5682.976000000001,0
24,2022-04-13,103,Inventory,0,5682.976000000001
24,2022-04-13,101,Cash,8743.04,0
24,Description:,Sales completed,,,,
24,2022-04-20,301,Owner's Equity,0,3060.063999999991
25,2022-04-20,401,Sales Revenue,0,7053.84
25,2022-04-20,501,Cost of Goods Sold,4584.996,0
25,2022-04-20,103,Inventory,0,4584.996
25,2022-04-20,101,Cash,7053.84,0
25,Description:,Items sold,,,,
25,2022-04-26,301,Owner's Equity,0,2468.844000000012
